File: /home/phss/Documentos/DataScience/GBS_Tassel4Poly/fastq/AHVLYCDRX3_1_fastq.txt.gz
Total reads: 100000
Accepted reads (with barcode and cut site): 94015(0.94015 of total)
Accepted reads found in TOPM: 94015(0.94015 of total)
name	read count	fraction of total	mapped read count	fraction mapped of total
111-IAC162063:AHVLYCDRX3:1:2	98	9.8E-4	98	9.8E-4
42-IACSP031010:AHVLYCDRX3:1:5	742	0.00742	742	0.00742
51-IACSP043078:AHVLYCDRX3:1:6	200	0.002	200	0.002
139-IAC133168:AHVLYCDRX3:1:5	2600	0.026	2600	0.026
109-IAC133172:AHVLYCDRX3:1:1	880	0.0088	880	0.0088
106-IACSP018002:AHVLYCDRX3:1:1	63	6.3E-4	63	6.3E-4
66-IAC127064:AHVLYCDRX3:1:8	829	0.00829	829	0.00829
96_R5:AHVLYCDRX3:1:8	107	0.00107	107	0.00107
41-IAC145084:AHVLYCDRX3:1:5	970	0.0097	970	0.0097
86-IAC07412:AHVLYCDRX3:1:10	855	0.00855	855	0.00855
149-IACSP041074:AHVLYCDRX3:1:6	206	0.00206	206	0.00206
116-IACCTC077211:AHVLYCDRX3:1:2	769	0.00769	769	0.00769
70-IACCTC086260:AHVLYCDRX3:1:8	885	0.00885	885	0.00885
130-IAC131035:AHVLYCDRX3:1:4	597	0.00597	597	0.00597
107-IAC133227:AHVLYCDRX3:1:1	1424	0.01424	1424	0.01424
112-IAC162087:AHVLYCDRX3:1:2	174	0.00174	174	0.00174
136-IAC133266:AHVLYCDRX3:1:5	315	0.00315	315	0.00315
142-IAC162047:AHVLYCDRX3:1:6	43	4.3E-4	43	4.3E-4
38-IACSP952289:AHVLYCDRX3:1:5	329	0.00329	329	0.00329
144-IACSP045051:AHVLYCDRX3:1:6	162	0.00162	162	0.00162
72-IAC077078:AHVLYCDRX3:1:9	364	0.00364	364	0.00364
100-IAC133175:AHVLYCDRX3:1:12	514	0.00514	514	0.00514
49-IAC127055:AHVLYCDRX3:1:6	530	0.0053	530	0.0053
14-IAC133104:AHVLYCDRX3:1:2	411	0.00411	411	0.00411
101-IAC162079:AHVLYCDRX3:1:12	459	0.00459	459	0.00459
12-IAC133164:AHVLYCDRX3:1:2	644	0.00644	644	0.00644
22-IAC133269:AHVLYCDRX3:1:3	947	0.00947	947	0.00947
68-IACSP021050:AHVLYCDRX3:1:8	894	0.00894	894	0.00894
59-IACSP023062:AHVLYCDRX3:1:7	245	0.00245	245	0.00245
25-IACSP041067:AHVLYCDRX3:1:3	664	0.00664	664	0.00664
65-IACCTC065755:AHVLYCDRX3:1:8	1091	0.01091	1091	0.01091
141-IAC089094:AHVLYCDRX3:1:5	244	0.00244	244	0.00244
21-IACCTC069733:AHVLYCDRX3:1:3	646	0.00646	646	0.00646
31_R1:AHVLYCDRX3:1:7	3148	0.03148	3148	0.03148
7-IACCTC077201:AHVLYCDRX3:1:1	317	0.00317	317	0.00317
152-IAC133234:AHVLYCDRX3:1:7	47	4.7E-4	47	4.7E-4
134-IACCTC072271:AHVLYCDRX3:1:5	232	0.00232	232	0.00232
35-IACSP024092:AHVLYCDRX3:1:4	757	0.00757	757	0.00757
121-GBWI-1112:AHVLYCDRX3:1:3	148	0.00148	148	0.00148
24-IAC07352:AHVLYCDRX3:1:3	205	0.00205	205	0.00205
34-IACSP045053:AHVLYCDRX3:1:4	937	0.00937	937	0.00937
85-IAC133268:AHVLYCDRX3:1:10	496	0.00496	496	0.00496
129-IAC162100:AHVLYCDRX3:1:4	139	0.00139	139	0.00139
48-IAC133248:AHVLYCDRX3:1:6	426	0.00426	426	0.00426
47-IAC07396:AHVLYCDRX3:1:6	898	0.00898	898	0.00898
95-IACCTC073037:AHVLYCDRX3:1:12	401	0.00401	401	0.00401
125-IAC0752:AHVLYCDRX3:1:3	349	0.00349	349	0.00349
20-IACSP022008:AHVLYCDRX3:1:3	548	0.00548	548	0.00548
145-GBWI-1135:AHVLYCDRX3:1:6	297	0.00297	297	0.00297
119-IAC162021:AHVLYCDRX3:1:3	91	9.1E-4	91	9.1E-4
126-IAC127051:AHVLYCDRX3:1:4	103	0.00103	103	0.00103
57-IACCTC062742:AHVLYCDRX3:1:7	677	0.00677	677	0.00677
117-IAC107051:AHVLYCDRX3:1:2	163	0.00163	163	0.00163
19-IACSP973331:AHVLYCDRX3:1:3	474	0.00474	474	0.00474
32-IACCTC059604:AHVLYCDRX3:1:4	567	0.00567	567	0.00567
123-IAC162145:AHVLYCDRX3:1:3	3845	0.03845	3845	0.03845
104-IAC071316:AHVLYCDRX3:1:1	110	0.0011	110	0.0011
127-IAC07395:AHVLYCDRX3:1:4	84	8.4E-4	84	8.4E-4
5-IAC086154:AHVLYCDRX3:1:1	321	0.00321	321	0.00321
17-IACCTC065727:AHVLYCDRX3:1:2	564	0.00564	564	0.00564
4-IAC133163:AHVLYCDRX3:1:1	612	0.00612	612	0.00612
9-IAC075027:AHVLYCDRX3:1:1	365	0.00365	365	0.00365
15-IACCTC072247:AHVLYCDRX3:1:2	707	0.00707	707	0.00707
124-IAC162010:AHVLYCDRX3:1:3	3828	0.03828	3828	0.03828
46-IACSP043104:AHVLYCDRX3:1:6	664	0.00664	664	0.00664
135-IACCTC092254:AHVLYCDRX3:1:5	129	0.00129	129	0.00129
99_R7:AHVLYCDRX3:1:8	619	0.00619	619	0.00619
131-IACCTC052559:AHVLYCDRX3:1:4	946	0.00946	946	0.00946
80-IACSP974012:AHVLYCDRX3:1:10	645	0.00645	645	0.00645
77-IACCTC056598:AHVLYCDRX3:1:9	828	0.00828	828	0.00828
11-IACCTC052299:AHVLYCDRX3:1:2	1189	0.01189	1189	0.01189
61-IAC07356:AHVLYCDRX3:1:7	739	0.00739	739	0.00739
